url,origin,written,shape,shards,chunks,dimension_names,license,name,description,organismId,fbbiId
https://data-humerus.webknossos.org/data/zarr3_experimental/5f0701280100001a0014536b/color,https://webknossos.org/publications/5f608a1bdf7998b1ab03a5bc,22615055910,"1,3200,3200,3200",,"1,32,32,32","c,x,y,z",,,,,
https://data-humerus.webknossos.org/data/zarr3_experimental/5f0b0dcc01000018001453a0/color,https://webknossos.org/publications/5f608a1bdf7998b1ab03a5bc,245262414507,"1,5940,11496,7843",,"1,32,32,32","c,x,y,z",,,,,
https://data-humerus.webknossos.org/data/zarr3_experimental/5f07015b010000180014536f/color,https://webknossos.org/publications/5f608a1bdf7998b1ab03a5bc,18279161465,"1,2650,2850,2300",,"1,32,32,32","c,x,y,z",,,,,
https://demo.data2-brain.esc.rzg.mpg.de/data/zarr3_experimental/5c1cd439010000e66f8c2787/color,https://webknossos.org/publications/5eec8149cfa12a93b0431df8,708670085600,"1,9344,6528,7808",,"1,32,32,32","c,x,y,z",,,,,
https://demo.data2-brain.esc.rzg.mpg.de/data/zarr3_experimental/5da84e9401000018006d210b/color,https://webknossos.org/publications/5db1ddabdf0a57ec5ce52e0f,279173214432,"1,5599,8534,3424",,"1,32,32,32","c,x,y,z",,,,,
https://demo.data2-brain.esc.rzg.mpg.de/data/zarr3_experimental/5beebf44010000f0fd74188d/color,https://webknossos.org/publications/5ca3afb48f887cf6f2b3b601,2276333581504,"1,22416,26512,7424",,"1,32,32,32","c,x,y,z",,,,,
https://demo.data2-brain.esc.rzg.mpg.de/data/zarr3_experimental/5abb89f348d7a73cea44801d/color,https://webknossos.org/publications/5c5ab61e96ec36b84da1fd13,35433599632,"1,4352,4286,896",,"1,32,32,32","c,x,y,z",,,,,
https://demo.data2-brain.esc.rzg.mpg.de/data/zarr3_experimental/5abb89f348d7a73cea448019/color,https://webknossos.org/publications/5c5ab61e96ec36b84da1fd13,807454367600,"1,29000,26242,2767",,"1,32,32,32","c,x,y,z",,,,,
https://demo.data2-brain.esc.rzg.mpg.de/data/zarr3_experimental/5abf857b48d7a73cea450ade/color_1,https://webknossos.org/publications/5c5ab61e96ec36b84da1fd13,95563171344,"1,8932,10476,174",,"1,32,32,32","c,x,y,z",,,,,
https://data-humerus.webknossos.org/data/zarr3_experimental/5c5b135e01000056001752c5/color,https://webknossos.org/publications/5c5b175296ec36b84da1fd1a,546108767,"1,1001,1001,464",,"1,32,32,32","c,x,y,z",,,,,
https://data-humerus.webknossos.org/data/zarr3_experimental/5c5b135e0100001d001752c4/color,https://webknossos.org/publications/5c5b175296ec36b84da1fd1a,381332646,"1,833,833,468",,"1,32,32,32","c,x,y,z",,,,,
https://data-humerus.webknossos.org/data/zarr3_experimental/5c5b135e0100001d001752c9/color,https://webknossos.org/publications/5c5b175296ec36b84da1fd1a,319782866,"1,998,998,268",,"1,32,32,32","c,x,y,z",,,,,
https://data-humerus.webknossos.org/data/zarr3_experimental/5c5b135e01000056001752c7/color,https://webknossos.org/publications/5c5b175296ec36b84da1fd1a,527243743,"1,999,999,449",,"1,32,32,32","c,x,y,z",,,,,
https://data-humerus.webknossos.org/data/zarr3_experimental/5c5b135e01000056001752c6/color,https://webknossos.org/publications/5c5b175296ec36b84da1fd1a,233291451,"1,831,831,280",,"1,32,32,32","c,x,y,z",,,,,
https://data-humerus.webknossos.org/data/zarr3_experimental/5c5b135e01000056001752c8/color,https://webknossos.org/publications/5c5b175296ec36b84da1fd1a,362216098,"1,1001,1001,304",,"1,32,32,32","c,x,y,z",,,,,
https://data-humerus.webknossos.org/data/zarr3_experimental/5b3ce7bb1d0000340240b91c/color,https://webknossos.org/publications/5c5ab2a896ec36b84da1fd0e,34575727794,"1,10240,8192,1024",,"1,32,32,32","c,x,y,z",,,,,
https://data-humerus.webknossos.org/data/zarr3_experimental/5b4238a61d0000c42a1ab5e4/color,https://webknossos.org/publications/5c5ab2a896ec36b84da1fd0e,49416428373,"1,9216,9216,1024",,"1,32,32,32","c,x,y,z",,,,,
https://data-humerus.webknossos.org/data/zarr3_experimental/5b4238a61d0000c42a1ab5e3/color,https://webknossos.org/publications/5c5ab2a896ec36b84da1fd0e,78999598768,"1,8192,7168,2048",,"1,32,32,32","c,x,y,z",,,,,
https://data-humerus.webknossos.org/data/zarr3_experimental/5b3ce7bb1d0000340240b921/color,https://webknossos.org/publications/5c5ab2a896ec36b84da1fd0e,61120688440,"1,9216,9216,1024",,"1,32,32,32","c,x,y,z",,,,,
https://data-humerus.webknossos.org/data/zarr3_experimental/5b3ce7bb1d0000340240b91b/color,https://webknossos.org/publications/5c5ab2a896ec36b84da1fd0e,81461682681,"1,6144,6144,2048",,"1,32,32,32","c,x,y,z",,,,,
https://data-humerus.webknossos.org/data/zarr3_experimental/5b3ce7bb1d0000340240b91d/color,https://webknossos.org/publications/5c5ab2a896ec36b84da1fd0e,125218227199,"1,11264,10240,2048",,"1,32,32,32","c,x,y,z",,,,,
https://data-humerus.webknossos.org/data/zarr3_experimental/5b3ce7bb1d0000340240b91f/color,https://webknossos.org/publications/5c5ab2a896ec36b84da1fd0e,94733287305,"1,11264,11264,2048",,"1,32,32,32","c,x,y,z",,,,,
https://data-humerus.webknossos.org/data/zarr3_experimental/5b4238a61d00004b1d1ab5e2/color,https://webknossos.org/publications/5c5ab2a896ec36b84da1fd0e,73943084508,"1,11264,9216,1024",,"1,32,32,32","c,x,y,z",,,,,
https://data-humerus.webknossos.org/data/zarr3_experimental/5b3ce7bb1d0000340240b923/color,https://webknossos.org/publications/5c5ab2a896ec36b84da1fd0e,71299277123,"1,13312,10240,1024",,"1,32,32,32","c,x,y,z",,,,,
https://data-humerus.webknossos.org/data/zarr3_experimental/5b4238a61d0000c42a1ab5e5/color,https://webknossos.org/publications/5c5ab2a896ec36b84da1fd0e,143490248529,"1,9216,10240,2048",,"1,32,32,32","c,x,y,z",,,,,
https://demo.data2-brain.esc.rzg.mpg.de/data/zarr3_experimental/5a7c738a48d7a73cea3c83c6/color,https://webknossos.org/publications/5c5ab59796ec36b84da1fd12,9077414863104,"1,34048,26752,7808",,"1,32,32,32","c,x,y,z",,,,,
https://demo.data2-brain.esc.rzg.mpg.de/data/zarr3_experimental/5a7c738a48d7a73cea3c83c8/color,https://webknossos.org/publications/5c5ab59796ec36b84da1fd12,1253057165712,"1,31232,29312,7808",,"1,32,32,32","c,x,y,z",,,,,
https://demo.data2-brain.esc.rzg.mpg.de/data/zarr3_experimental/5a7c738a48d7a73cea3c83c4/color,https://webknossos.org/publications/5c5ab59796ec36b84da1fd12,1253057165712,"1,18176,14208,3456",,"1,32,32,32","c,x,y,z",,,,,
https://demo.data2-brain.esc.rzg.mpg.de/data/zarr3_experimental/5a7c738a48d7a73cea3c83ca/color,https://webknossos.org/publications/5c5ab59796ec36b84da1fd12,7461433484016,"1,26496,29184,7808",,"1,32,32,32","c,x,y,z",,,,,
https://demo.data2-brain.esc.rzg.mpg.de/data/zarr3_experimental/5a7c738a48d7a73cea3c83c2/color,https://webknossos.org/publications/5c5ab59796ec36b84da1fd12,8603894834544,"1,29440,30720,7808",,"1,32,32,32","c,x,y,z",,,,,
https://data-humerus.webknossos.org/data/zarr3_experimental/5c051f59010000b538527270/color,https://webknossos.org/publications/5c5ae90396ec36b84da1fd16,667609946111,"1,15104,15104,2661",,"1,32,32,32","c,x,y,z",,,,,
https://data-humerus.webknossos.org/data/zarr3_experimental/5c756b3c010000fb01ffd254/color,https://webknossos.org/publications/5c756d9e48e5caa17550d8f8,421681228,"1,640,880,880",,"1,32,32,32","c,x,y,z",,,,,
https://data-humerus.webknossos.org/data/zarr3_experimental/5c090ece01000020258c0e5a/color,https://webknossos.org/publications/5c5af5db96ec36b84da1fd19,426787921101,"1,13440,14976,5505",,"1,32,32,32","c,x,y,z",,,,,
https://data-humerus.webknossos.org/data/zarr3_experimental/5c98db84010000b02339b49b/color,https://webknossos.org/publications/5c98dfbcbe67ded57f0c9061,715593961827,"1,4992,16000,10112",,"1,32,32,32","c,x,y,z",,,,,
https://data-humerus.webknossos.org/data/zarr3_experimental/5a7c737448d7a73cea3c83ae/color,https://webknossos.org/publications/5c5ab4d696ec36b84da1fd10,437514847510,"1,8192,7424,3456",,"1,32,32,32","c,x,y,z",,,,,
https://data-humerus.webknossos.org/data/zarr3_experimental/5c010a3c010000f6145257c8/color,https://webknossos.org/publications/5c5ae32496ec36b84da1fd15,491018103,"1,1280,1536,1280",,"1,32,32,32","c,x,y,z",,,,,
https://data-humerus.webknossos.org/data/zarr3_experimental/5a7c737448d7a73cea3c83b0/color,https://webknossos.org/publications/5c5ab41196ec36b84da1fd0f,1119829651012,"1,4864,20992,12928",,"1,32,32,32","c,x,y,z",,,,,
https://data-humerus.webknossos.org/data/zarr3_experimental/5a7c737448d7a73cea3c83aa/color,https://webknossos.org/publications/5c5ab41196ec36b84da1fd0f,157414830587,"1,4608,5504,5760",,"1,32,32,32","c,x,y,z",,,,,
https://data-humerus.webknossos.org/data/zarr3_experimental/5bfd0b1c0100003f3574cc8e/color,https://webknossos.org/publications/5c5ae14296ec36b84da1fd14,8096446005,"1,2048,1768,1964",,"1,32,32,32","c,x,y,z",,,,,
